epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,9,,0.8269788026809692,,,,,
0,,19,,0.3905177116394043,,,,,
0,,29,,0.7190512418746948,,,,,
0,,39,,0.5291644930839539,,,,,
0,,49,,0.38626956939697266,,,,,
0,,59,,0.3386324644088745,,,,,
0,,69,,0.49003881216049194,,,,,
0,,79,,0.4783904552459717,,,,,
0,,89,,0.44340699911117554,,,,,
0,,99,,0.3130038380622864,,,,,
0,,109,,0.27255386114120483,,,,,
0,,119,,0.298175573348999,,,,,
0,,129,,0.34474027156829834,,,,,
0,,139,,0.3090338110923767,,,,,
0,,149,,0.2637595534324646,,,,,
0,,159,,0.3956022262573242,,,,,
0,,169,,0.3018072843551636,,,,,
0,,179,,0.31916192173957825,,,,,
0,,189,,0.41640329360961914,,,,,
0,,199,,0.2640787959098816,,,,,
0,,209,,0.25909119844436646,,,,,
0,,219,,0.30939334630966187,,,,,
0,,229,,0.1979907900094986,,,,,
0,,239,,0.3486747443675995,,,,,
0,,249,,0.240391343832016,,,,,
0,,259,,0.25823259353637695,,,,,
0,,267,,,0.4707571864128113,0.053913772106170654,0.6059014797210693,0.05290069058537483,0.252969354391098
0,,267,0.3978152871131897,,,,,,
,0.001,268,,,,,,,
1,,269,,0.2654399275779724,,,,,
1,,279,,0.31300079822540283,,,,,
1,,289,,0.272844135761261,,,,,
1,,299,,0.21784670650959015,,,,,
